Date,DAX,SP500
1990-01-03,3.0012784590893737,-0.2588908120090494
1990-01-04,-1.8232665568596929,-0.8650306588847911
1990-01-05,-0.8687429496446519,-0.9804138598848766
1990-01-08,1.2682966339944812,0.45043207078832026
1990-01-09,1.2245480138705744,-1.185666638695082
1990-01-10,-1.4200483123675056,-0.6629097497291347
1990-01-11,0.8767570897680876,0.350655682365808
1990-01-12,-0.009160741379865556,-2.498459564881994
1990-01-15,-0.7600238896007028,-0.8656783708222981
1990-01-16,-2.9162271381861338,1.1066140224280652
1990-01-17,0.7685576765299906,-0.9879900464774494
1990-01-18,-1.30165309938155,0.2338697612682239
1990-01-19,-0.31581373550846337,0.2834619667538618
1990-01-22,0.3231202464560212,-2.619898026509393
1990-01-23,1.2410724473293833,0.3716072494878375
1990-01-24,-2.535879985082623,-0.4079356587030958
1990-01-25,1.759639081575326,-1.2737473000481891
1990-01-26,0.36574545270564585,-0.08590538664154934
1990-01-29,0.965703391142636,-0.18433184942887593
1990-01-30,0.07449406461281782,-0.6849975872735392
1990-01-31,0.5435035163123381,1.8710480499809279
1990-02-01,1.9180888298701682,-0.08816332065126886
1990-02-02,2.791026937274932,0.6457405227765278
1990-02-05,1.4940149582270301,0.2806405269951462
1990-02-06,-0.08820912839979655,-0.6621239288723935
1990-02-07,-1.7051013203444043,1.233038941124942
1990-02-08,0.56690592186035,-0.23698470691346785
1990-02-09,-1.5730212187453851,0.19802580805849956
1990-02-12,-1.3613714848810687,-1.0667571402968257
1990-02-13,-1.0488104634349682,0.28437471894529054
1990-02-14,-0.47642343076308435,0.2986292432408888
1990-02-15,1.0170619194043162,0.8637030749947705
1990-02-16,2.280704097644115,-0.6500824260094795
1990-02-20,-2.4577462387772364,-1.4318175320153337
1990-02-21,-0.9154566825269939,-0.09761157472105708
1990-02-22,0.7145762540500478,-0.6030292085104527
1990-02-23,-1.6904432967550953,-0.47703406611834254
1990-02-26,-0.7628315468555691,1.3847836249921919
1990-02-27,1.579762266296747,0.48260151639158977
1990-02-28,0.3098855904066333,0.49233656800868886
1990-03-01,-1.2257678232984404,0.2557815516667894
1990-03-02,1.6838533231579689,0.8379770110657603
1990-03-05,0.8177753241565,-0.5378927623497454
1990-03-06,-0.5985715665072,1.2476526724256587
1990-03-07,1.2271966476935958,-0.29042220507875527
1990-03-08,0.8743484637134813,0.9804868720451054
1990-03-09,-0.117215027696016,-0.6900646669663502
1990-03-12,-0.6834366731718333,0.21874084985515907
1990-03-13,1.1525456376415555,-0.7915021978361025
1990-03-14,-0.24877235159399547,0.2585939289352801
1990-03-15,0.8829088405154728,0.35558753798108356
1990-03-16,0.5481501102570618,1.1294569903386176
1990-03-19,0.899791660466498,0.47268995576033035
1990-03-20,0.10797778593927276,-0.5721808049572452
1990-03-21,1.5160864577895339,-0.5372016852620121
1990-03-22,-0.9857558620129936,-1.1992504150500238
1990-03-23,0.6824050786299551,0.45474213091702964
1990-03-26,0.382783001964615,0.12150849831655819
1990-03-27,-0.8039323438842061,1.139705767784438
1990-03-28,0.23879988506321226,0.14630580517600578
1990-03-29,1.3027906161894975,-0.3544285260955071
1990-03-30,0.7474973873837776,-0.2497320352444099
1990-04-02,-1.9103879833463289,-0.36543716254797687
1990-04-03,1.8992116203263798,1.4479837946129948
1990-04-04,-0.2584204226833364,-0.7448225690865229
1990-04-05,-0.2478556159164036,-0.10559972821386765
1990-04-06,-0.5401640790259954,-0.19094907463168553
1990-04-09,-1.2387481800179678,0.3786048986492041
1990-04-10,-1.3264216531092998,0.20484614443931903
1990-04-11,-0.24998167162699758,-0.04386029105827305
1990-04-12,1.2802055251349032,0.705274977748882
1990-04-17,-0.19934670999903759,-0.017405935467884603
1990-04-18,-1.2928302545838655,-1.155542475660809
1990-04-19,-0.5779304580610045,-0.7748893386738231
1990-04-20,0.2901787750461793,-0.8823455589440421
1990-04-23,-2.516636794639737,-1.2219255267924112
1990-04-24,-0.3800409696234297,-0.20864524283394914
1990-04-25,0.6957326149549026,0.5042357337406322
1990-04-26,-0.884927772002353,0.2676894597971824
1990-04-27,-0.08487128821146328,-1.151017948930022
1990-04-30,-0.6744062694646225,0.5121921760942172
1990-05-02,1.649630205992647,0.6689389454955119
1990-05-03,2.0606334194091858,0.32534914155339933
1990-05-04,1.6391735982601574,0.8368498004166725
1990-05-07,1.1466298856605661,0.6304150967347155
1990-05-08,-1.860661936933461,0.43367489658558966
1990-05-09,-0.14384208306017499,0.24822241781210508
1990-05-10,-0.16517284894632667,0.27960640340127796
1990-05-11,-0.9760058370835267,2.351291098474917
1990-05-14,-0.787076795137942,0.7782140442055052
1990-05-15,-0.4892804743124479,-0.13257550987697542
1990-05-16,-0.5134020840908526,-0.07906478076078471
1990-05-17,-0.010316695408718601,0.13268030232733707
1990-05-18,0.10908588745275338,0.04794742797500362
1990-05-21,-1.773619111647129,0.9429795963902698
1990-05-22,0.11477636425727411,0.12003965541200756
1990-05-23,1.0172759781244878,0.23964788819865745
1990-05-25,-0.4722345758135127,-1.0743592027007587
1990-05-29,0.7506095105112465,1.6973968479446988
1990-05-30,-0.1194587575001016,0.05821125304708019
1990-05-31,0.23172843343273186,0.10248030920845252
1990-06-01,0.6559065700222355,0.5328633931319438
1990-06-05,1.0574229938742796,-0.20707325801572196
1990-06-06,-1.485381779459427,-0.4592681664790099
1990-06-07,-0.628791286302377,-0.4971786483901397
1990-06-08,-0.8306830363610018,-1.2301709452578358
1990-06-11,-0.6922043448779114,0.8107327078820781
1990-06-12,-0.5152337423942832,1.2694570652858062
